index,totalseconds,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_Row1,Q13_Row2,Q13_Row3,Q13_Row4,Q13_Row5,Q13_Row6,Q13_Row7,Q13_Row8,Q13_Row9,Q13_Row10,Q13_Row11,Q13_Row12,Q13_Row13,Q13_Row14,Q13_Row15,Q13_Row16,Q13_Row17,Q13_Row18,Q13_Row19,Q13_Row20,Q13_Row21,Q13_Row22,Q13_Row23,Q13_Row24,Q13_Row25,Q13_Row26,Q13_Row27,Q13_Row28,Q13_Row29,totalvalue,最后一个基本个案
274,111,1,2,2,1,1,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,3,3,5,5,5,5,137,0
116,178,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,4,5,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,4,5,5,5,5,1,1,2,5,5,5,5,137,0
134,318,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,5,5,5,5,5,5,5,5,5,2,5,5,5,4,2,5,5,5,5,5,5,5,1,1,1,5,5,5,5,138,0
29,147,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,5,5,144,0
142,83,1,1,2,1,2,2,-3,-3,-3,-3,-3,-3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
184,86,2,-3,-3,-3,-3,-3,1,3,1,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
204,89,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,145,0
75,226,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,1,3,3,3,3,3,1,1,3,3,4,3,2,1,3,58,0
290,152,1,1,1,1,2,2,-3,-3,-3,-3,-3,-3,1,3,2,2,2,2,2,2,1,1,2,1,1,4,3,2,2,2,2,2,2,2,2,4,4,2,2,4,2,61,0
40,192,2,-3,-3,-3,-3,-3,2,3,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,3,64,0
117,194,2,-3,-3,-3,-3,-3,1,3,1,5,2,1,2,1,2,1,2,4,2,2,4,3,4,3,4,4,2,2,1,2,2,2,1,2,4,5,5,3,1,1,3,64,0
20,128,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,4,2,3,3,4,64,0
254,275,2,-3,-3,-3,-3,-3,2,3,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,4,2,2,2,2,65,0
253,189,2,-3,-3,-3,-3,-3,2,4,1,4,1,1,3,2,2,2,3,3,2,2,1,3,3,1,2,4,3,4,4,4,3,2,3,3,4,4,4,2,1,1,1,70,0
18,114,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,3,72,0
51,150,2,-3,-3,-3,-3,-3,2,1,2,5,1,1,3,2,3,2,2,2,2,2,2,2,4,3,2,4,2,2,2,2,2,2,3,4,4,5,4,2,3,5,3,72,0
35,196,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,2,2,2,3,2,2,2,2,3,2,1,2,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,3,3,72,0
157,223,2,-3,-3,-3,-3,-3,1,3,1,2,1,1,3,3,3,2,3,3,3,3,2,2,3,2,2,3,2,2,1,3,3,2,3,2,3,4,4,2,3,3,3,73,0
72,230,2,-3,-3,-3,-3,-3,1,3,1,4,1,1,3,2,4,1,1,1,3,4,3,3,4,4,2,4,4,2,2,2,2,4,3,2,4,2,4,2,2,1,1,74,0
241,320,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,2,2,2,2,3,2,2,2,2,2,3,3,4,2,2,2,3,3,3,3,2,3,2,4,3,3,3,2,74,0
242,327,2,-3,-3,-3,-3,-3,2,3,1,4,1,1,3,2,2,2,3,3,2,2,2,2,2,3,3,4,2,2,2,3,3,3,3,2,3,2,4,3,3,3,2,75,0
186,179,2,-3,-3,-3,-3,-3,1,3,1,5,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,2,4,3,3,2,2,2,3,75,0
